,index,MARS,known_types,Obp19d,Obp56d,Obp83a,seq_batch,seq_depth,HDBSCAN_attempt,Or85c,5-HT1A,5-HT2B,Type,annotated
1611,ORN_10day_nuclei_P2_K18,15,DM1/VA2,11.709814,8.913434,9.380716,Plate #2 (lam::GFP),970527,-1,0.0,0.0,2.621018,Or_VA2,VA2
1612,ORNnuclei_adult_nSybUNC84GFP_P5_A11,3,DC2,13.200455,9.530383,7.5640893,Plate #5 (unc84::GFP),69060,11,0.0,0.0,12.744959,Or_DC2,DC2
1613,ORNnuclei_adult_nSybUNC84GFP_P10_N14,4,VA1v,5.806103,2.8758883,9.071015,Plate #10 (unc84::GFP),473145,10,0.0,0.0,7.8139915,Or_VA1v,VA1v
1614,ORNnuclei_adult_nSybUNC84GFP_P9_E23,0,V,12.802812,9.0440235,9.314857,Plate #9 (unc84::GFP),440341,0,0.0,0.0,7.124421,Gr_V,V
1615,ORNnuclei_adult_nSybUNC84GFP_P10_M22,10,VA5/D,11.088749,0.0,7.5962243,Plate #10 (unc84::GFP),488300,19,0.0,0.0,0.0,Or_D,D
1616,ORNnuclei_adult_nSybUNC84GFP_P2_H13,24,NaN,11.124524,0.0,0.0,Plate #2 (unc84::GFP) (unc84::GFP),253627,17,0.0,0.0,3.1514685,Or_MARS24,unannotated
1617,ORN_10day_nuclei_P2_K16,23,NaN,10.99982,0.0,8.648285,Plate #2 (lam::GFP),986933,19,0.0,0.0,1.5976409,Or_VA6_DC3_DM3,VA6_DC3_DM3
1618,ORNnuclei_adult_nSybUNC84GFP_P7_O8,5,DA1,12.549882,0.0,8.95944,Plate #7 (unc84::GFP),326083,4,0.0,0.0,11.588701,Or_DA1,DA1
1619,ORN_10day_nuclei_P3_F19,24,DC2,6.0499415,10.962087,0.0,Plate #3 (lam::GFP),137922,13,0.0,0.0,0.0,Or_MARS24,unannotated
1620,ORNnuclei_adult_nSybUNC84GFP_P7_G20,4,VA1v,9.1273985,4.2934413,7.5253386,Plate #7 (unc84::GFP),698588,10,0.0,0.0,0.0,Or_VA1v,VA1v
1621,ORN_10day_nuclei_P3_P6,5,DA1,10.980754,0.0,5.206777,Plate #3 (lam::GFP),389631,4,0.0,0.0,4.035552,Or_DA1,DA1
1622,ORNnuclei_adult_nSybUNC84GFP_P5_M17,14,DM1/VA2,14.443999,11.648413,3.5091271,Plate #5 (unc84::GFP),96288,-1,0.0,0.0,7.554122,Or_DM1,DM1
1623,ORNnuclei_adult_nSybUNC84GFP_P5_N19,22,NaN,10.519498,0.0,0.0,Plate #5 (unc84::GFP),304051,12,0.0,0.0,0.0,Or_MARS22,unannotated
1624,ORNnuclei_adult_nSybUNC84GFP_P7_N11,25,NaN,13.786791,5.273725,12.645557,Plate #7 (unc84::GFP),79606,12,0.0,0.0,0.0,Or_MARS25,unannotated
1625,ORNnuclei_adult_nSybUNC84GFP_P8_P6,14,DM1/VA2,9.279665,0.0,10.71069,Plate #8 (unc84::GFP),546313,7,0.0,0.0,11.360589,Or_DM1,DM1
1626,ORNnuclei_adult_nSybUNC84GFP_P8_J21,10,VA5/D,9.779138,0.0,6.993922,Plate #8 (unc84::GFP),395376,19,0.0,0.0,1.8193567,Or_D,D
1627,ORN_10day_nuclei_P2_A5,1,DM4,3.1676044,4.2669854,8.934453,Plate #2 (lam::GFP),876585,2,0.0,0.0,8.560184,Or_DM4,DM4
1628,ORNnuclei_adult_nSybUNC84GFP_P5_O18,7,DC1,6.497959,4.06809,9.8636,Plate #5 (unc84::GFP),380391,15,0.0,0.0,10.234846,Or_DC1,DC1
1629,ORNnuclei_adult_nSybUNC84GFP_P7_N7,7,DC1,8.538508,0.0,0.0,Plate #7 (unc84::GFP),266967,15,0.0,0.0,6.9172525,Or_DC1,DC1
1630,ORNnuclei_adult_nSybUNC84GFP_P9_F11,0,V,11.576303,7.0879564,5.3358755,Plate #9 (unc84::GFP),355433,0,0.0,0.0,7.2026176,Gr_V,V
1631,ORNnuclei_adult_nSybUNC84GFP_P7_B17,12,"DL2v/d, DP1l, DC4/DP1m",7.450176,0.0,0.0,Plate #7 (unc84::GFP),856940,1,0.0,0.0,2.1701906,Ir_DL2d/v_DP1l_VC3,DL2d/v_DP1l_VC3l
1632,ORNnuclei_adult_nSybUNC84GFP_P9_J10,23,DC2,13.857092,7.840419,0.0,Plate #9 (unc84::GFP),188437,-1,0.0,0.0,8.140886,Or_VA6_DC3_DM3,VA6_DC3_DM3
1633,ORNnuclei_adult_nSybUNC84GFP_P9_L14,22,NaN,14.017658,10.452784,9.031302,Plate #9 (unc84::GFP),126381,12,0.0,0.0,4.628642,Or_MARS22,unannotated
1634,ORNnuclei_adult_nSybUNC84GFP_P8_G1,4,VA1v,5.8458195,6.382235,6.89161,Plate #8 (unc84::GFP),424680,10,0.0,0.0,0.0,Or_VA1v,VA1v
1635,ORNnuclei_adult_nSybUNC84GFP_P10_K5,26,NaN,12.826549,11.741359,9.610405,Plate #10 (unc84::GFP),459865,14,0.0,1.6665527,5.7908707,Or_DL5,DL5
1636,ORNnuclei_adult_nSybUNC84GFP_P2_L3,2,DM2,9.913216,0.0,0.0,Plate #2 (unc84::GFP) (unc84::GFP),1919607,3,0.0,0.0,6.9104357,Or_DM2,DM2
1637,ORNnuclei_adult_nSybUNC84GFP_P9_O11,9,VM1/VL1,11.446051,7.944892,2.109793,Plate #9 (unc84::GFP),603083,1,0.0,0.0,0.0,Ir_MARS9,unannotated
1638,ORNnuclei_adult_nSybUNC84GFP_P9_J2,18,NaN,11.936101,10.742441,0.0,Plate #9 (unc84::GFP),318312,1,0.0,0.0,0.0,Ir_VP4_VP1d,VP4_VP1d_VP2
1639,ORNnuclei_adult_nSybUNC84GFP_P7_I12,10,VA5/D,7.455227,0.0,8.883,Plate #7 (unc84::GFP),286553,19,0.0,0.0,0.0,Or_D,D
1640,ORNnuclei_adult_nSybUNC84GFP_P9_D13,11,VM3,13.98878,10.67503,6.447912,Plate #9 (unc84::GFP),347624,17,0.0,0.0,0.0,Or_VM3_VA5,VM3_VA5
